"Time","Download","Upload"
"02/16/2021 00:08:27","68.80","17.79"
"02/16/2021 11:28:25","68.49","18.43"
"02/16/2021 11:38:33","70.44","17.84"
"02/16/2021 11:48:26","69.91","18.12"
"02/16/2021 11:58:24","71.15","18.13"
"02/16/2021 12:08:25","72.34","18.10"
"02/16/2021 12:18:39","71.50","18.29"
"02/16/2021 12:28:25","59.38","18.66"
"02/16/2021 12:38:28","68.23","18.39"
"02/16/2021 12:48:27","75.56","18.61"
"02/16/2021 12:58:32","70.52","18.33"
"02/16/2021 13:08:25","73.27","18.47"
"02/16/2021 13:18:32","72.60","18.44"
"02/16/2021 13:28:27","74.38","18.65"
"02/16/2021 13:38:29","64.39","18.35"
"02/16/2021 13:48:27","72.26","18.41"
"02/16/2021 13:58:29","73.49","18.40"
"02/16/2021 14:08:29","66.91","18.44"
"02/16/2021 14:18:22","66.29","18.43"
"02/16/2021 14:28:23","69.06","18.41"
"02/16/2021 14:38:23","69.69","18.43"
"02/16/2021 14:48:30","65.20","18.88"
"02/16/2021 14:58:28","73.82","18.40"
"02/16/2021 15:08:26","71.38","18.95"
"02/16/2021 15:18:30","74.72","18.68"
"02/16/2021 15:28:26","73.86","18.44"
"02/16/2021 15:38:25","73.79","18.39"
"02/16/2021 15:48:27","71.48","19.00"
"02/16/2021 15:58:27","71.94","18.39"
"02/16/2021 16:08:27","70.88","18.34"
"02/16/2021 16:18:30","51.89","18.38"
"02/16/2021 16:28:28","66.53","18.61"
"02/16/2021 16:38:25","70.40","18.57"
"02/16/2021 16:48:31","73.78","18.36"
"02/16/2021 16:58:28","23.64","18.40"
"02/16/2021 17:38:26","51.50","18.41"
"02/16/2021 17:48:29","66.37","18.65"
"02/16/2021 17:58:32","5.36","18.06"
"02/16/2021 18:08:41","23.17","5.99"
"02/16/2021 18:18:31","27.44","17.75"
"02/16/2021 18:28:31","55.34","18.17"
"02/16/2021 18:38:32","57.38","17.86"
"02/16/2021 18:48:42","30.59","7.54"
"02/16/2021 18:58:36","13.56","17.67"
"02/16/2021 19:08:30","61.72","17.50"
"02/16/2021 19:18:29","62.40","18.24"
"02/16/2021 19:28:31","62.00","17.80"
"02/16/2021 19:38:28","68.74","18.13"
"02/16/2021 19:48:30","61.66","17.74"
"02/16/2021 19:58:25","65.67","18.07"
"02/16/2021 20:08:27","69.61","18.10"
"02/16/2021 20:18:30","66.28","17.79"
"02/16/2021 20:28:28","67.59","18.19"
"02/16/2021 20:38:29","67.24","18.31"
"02/16/2021 20:48:29","68.22","17.83"
"02/16/2021 20:58:24","65.83","17.88"
"02/16/2021 21:08:26","65.96","18.21"
"02/16/2021 21:18:25","71.13","18.23"
"02/16/2021 21:28:28","66.38","17.57"
"02/16/2021 21:38:30","69.00","18.30"
"02/16/2021 21:48:26","65.10","18.28"
"02/16/2021 21:58:30","68.36","18.29"
"02/16/2021 22:08:29","68.21","18.17"
