"Time","Download","Upload"
"04/01/2021 00:00:20","73.30","18.48"
"04/01/2021 00:05:21","74.91","18.69"
"04/01/2021 00:10:20","75.01","18.67"
"04/01/2021 00:15:21","75.01","18.69"
"04/01/2021 00:20:18","73.55","18.44"
"04/01/2021 00:25:22","73.69","18.44"
"04/01/2021 00:30:19","73.98","18.42"
"04/01/2021 00:35:20","73.90","18.44"
"04/01/2021 00:40:21","74.00","18.53"
"04/01/2021 00:45:19","73.69","18.44"
"04/01/2021 00:50:22","74.04","18.44"
"04/01/2021 00:55:22","75.24","18.69"
"04/01/2021 01:00:23","73.90","18.44"
"04/01/2021 01:05:21","74.62","18.71"
"04/01/2021 01:10:21","73.84","18.41"
"04/01/2021 01:15:24","73.77","18.44"
"04/01/2021 01:20:21","73.96","18.43"
"04/01/2021 01:25:25","73.83","18.49"
"04/01/2021 01:30:22","74.10","18.40"
"04/01/2021 01:35:21","74.31","17.99"
"04/01/2021 01:40:21","75.04","18.29"
"04/01/2021 01:45:23","74.82","18.99"
"04/01/2021 01:50:23","73.88","18.44"
"04/01/2021 01:55:22","74.00","18.41"
"04/01/2021 02:00:21","73.91","18.44"
"04/01/2021 02:05:20","74.98","18.46"
"04/01/2021 02:10:18","73.17","18.42"
"04/01/2021 02:15:21","73.58","18.83"
"04/01/2021 02:20:22","75.07","18.70"
"04/01/2021 02:25:21","74.03","18.18"
"04/01/2021 02:30:22","73.87","18.42"
"04/01/2021 02:35:18","74.75","18.66"
"04/01/2021 02:40:21","74.80","18.70"
"04/01/2021 02:45:22","73.99","18.51"
"04/01/2021 02:50:21","73.33","18.45"
"04/01/2021 02:55:23","74.36","18.49"
"04/01/2021 03:00:18","73.82","18.44"
"04/01/2021 03:05:21","73.93","18.43"
"04/01/2021 03:10:20","73.91","18.44"
"04/01/2021 03:15:22","73.95","18.11"
"04/01/2021 03:20:21","73.88","18.44"
"04/01/2021 03:25:20","73.93","18.43"
"04/01/2021 03:30:23","73.54","18.44"
"04/01/2021 03:35:19","73.90","18.43"
"04/01/2021 03:40:24","73.65","18.43"
"04/01/2021 03:45:20","74.16","18.44"
"04/01/2021 03:50:21","73.64","18.53"
"04/01/2021 03:55:22","74.15","18.44"
"04/01/2021 04:00:21","73.65","18.41"
"04/01/2021 04:05:22","73.87","18.43"
"04/01/2021 04:10:26","73.81","18.43"
"04/01/2021 04:16:16","73.83","18.44"
"04/01/2021 04:24:42","73.83","18.25"
"04/01/2021 04:29:15","73.84","18.41"
"04/01/2021 04:33:09","73.62","18.49"
"04/01/2021 04:35:25","73.94","18.37"
"04/01/2021 04:40:21","73.94","18.50"
"04/01/2021 04:45:22","74.06","18.41"
"04/01/2021 04:50:20","74.15","18.39"
"04/01/2021 04:55:19","73.54","18.32"
"04/01/2021 05:00:21","73.92","18.36"
"04/01/2021 05:05:21","73.77","18.41"
"04/01/2021 05:10:23","73.90","18.43"
"04/01/2021 05:15:25","73.89","18.70"
"04/01/2021 05:20:22","73.95","18.44"
"04/01/2021 05:25:18","73.64","18.38"
"04/01/2021 05:30:40","74.10","18.80"
"04/01/2021 05:35:20","74.66","18.52"
"04/01/2021 05:40:17","74.22","18.43"
"04/01/2021 05:45:22","73.90","18.42"
"04/01/2021 05:50:21","73.94","18.42"
"04/01/2021 05:55:19","73.84","18.38"
"04/01/2021 06:00:19","73.86","18.43"
"04/01/2021 06:05:20","74.82","18.68"
"04/01/2021 06:10:25","73.88","18.82"
"04/01/2021 06:15:24","73.86","18.41"
"04/01/2021 06:20:23","73.99","18.39"
"04/01/2021 06:25:25","73.89","18.34"
"04/01/2021 06:30:26","73.90","18.43"
"04/01/2021 06:35:23","74.89","18.71"
"04/01/2021 06:40:19","74.84","18.66"
"04/01/2021 06:45:19","73.70","18.42"
"04/01/2021 06:50:26","74.07","18.44"
"04/01/2021 06:55:23","73.77","18.40"
"04/01/2021 07:00:19","72.91","18.42"
"04/01/2021 07:05:23","73.27","18.45"
"04/01/2021 07:10:21","75.08","18.71"
"04/01/2021 07:15:21","74.10","18.38"
"04/01/2021 07:20:22","73.89","18.50"
"04/01/2021 07:25:18","73.84","18.38"
"04/01/2021 07:30:20","71.95","18.30"
"04/01/2021 07:35:25","73.77","18.46"
"04/01/2021 07:40:25","73.55","18.52"
"04/01/2021 07:45:23","74.81","18.70"
"04/01/2021 07:50:23","73.88","18.46"
"04/01/2021 07:55:22","73.58","18.42"
"04/01/2021 08:00:18","74.24","18.43"
"04/01/2021 08:05:22","73.80","18.44"
"04/01/2021 08:10:23","73.90","18.37"
"04/01/2021 08:15:18","73.55","18.28"
"04/01/2021 08:20:20","73.55","18.42"
"04/01/2021 08:25:21","74.80","18.68"
"04/01/2021 08:30:18","68.73","18.33"
"04/01/2021 08:35:22","73.82","18.42"
"04/01/2021 08:40:21","73.64","18.32"
"04/01/2021 08:45:18","74.63","18.68"
"04/01/2021 08:50:23","73.81","18.48"
"04/01/2021 08:55:22","75.00","18.63"
"04/01/2021 09:00:32","68.97","18.44"
"04/01/2021 09:05:21","73.52","17.78"
"04/01/2021 09:10:20","71.95","18.34"
"04/01/2021 09:15:21","74.05","18.41"
"04/01/2021 09:20:20","74.55","18.56"
"04/01/2021 09:25:18","72.89","18.38"
"04/01/2021 09:30:39","73.86","18.39"
"04/01/2021 09:35:23","74.28","18.37"
"04/01/2021 09:40:24","69.42","18.98"
"04/01/2021 09:45:25","71.48","18.66"
"04/01/2021 09:50:18","73.72","17.45"
"04/01/2021 09:55:23","73.41","18.24"
"04/01/2021 10:00:21","72.87","18.41"
"04/01/2021 10:05:18","74.23","18.64"
"04/01/2021 10:10:20","73.80","18.43"
"04/01/2021 10:15:35","73.94","18.43"
"04/01/2021 10:20:23","71.08","18.66"
"04/01/2021 10:25:29","55.79","18.09"
"04/01/2021 10:30:24","75.05","18.66"
"04/01/2021 10:35:18","73.86","18.38"
"04/01/2021 10:40:18","74.77","18.64"
"04/01/2021 10:45:21","74.89","18.67"
"04/01/2021 10:50:22","73.87","18.28"
"04/01/2021 10:55:20","73.58","18.57"
"04/01/2021 11:00:22","74.60","18.66"
"04/01/2021 11:05:23","74.51","17.87"
"04/01/2021 11:10:24","74.69","18.59"
"04/01/2021 11:15:23","74.49","17.22"
"04/01/2021 11:20:26","73.33","18.32"
"04/01/2021 11:25:20","74.88","18.63"
"04/01/2021 11:30:25","73.87","18.47"
"04/01/2021 11:35:19","73.67","18.40"
"04/01/2021 11:40:19","73.79","18.32"
"04/01/2021 11:45:19","73.76","18.37"
"04/01/2021 11:50:19","73.61","18.36"
"04/01/2021 11:55:20","73.97","18.41"
"04/01/2021 12:00:28","73.98","18.40"
"04/01/2021 12:05:20","75.08","18.48"
"04/01/2021 12:10:18","73.63","18.55"
"04/01/2021 12:15:28","73.79","18.91"
"04/01/2021 12:20:18","74.67","18.68"
"04/01/2021 12:25:30","74.93","18.61"
"04/01/2021 12:30:21","73.95","18.40"
"04/01/2021 12:35:18","74.61","18.66"
"04/01/2021 12:40:21","73.08","18.41"
"04/01/2021 12:45:21","73.80","18.23"
"04/01/2021 12:50:19","74.70","18.64"
"04/01/2021 12:55:26","74.38","18.60"
"04/01/2021 13:00:18","74.71","18.67"
"04/01/2021 13:05:20","74.05","18.41"
"04/01/2021 13:10:30","73.91","18.42"
"04/01/2021 13:15:22","71.79","18.41"
"04/01/2021 13:20:18","74.64","18.59"
"04/01/2021 13:25:27","74.93","18.67"
"04/01/2021 13:30:27","73.75","18.44"
"04/01/2021 13:35:20","74.77","18.68"
"04/01/2021 13:40:19","73.73","18.63"
"04/01/2021 13:45:21","73.99","18.42"
"04/01/2021 13:50:21","74.79","18.64"
"04/01/2021 13:55:22","71.24","18.40"
"04/01/2021 14:00:21","62.35","18.33"
"04/01/2021 14:05:22","73.97","18.40"
"04/01/2021 14:10:19","73.93","18.41"
"04/01/2021 14:15:21","75.00","18.69"
"04/01/2021 14:20:19","73.41","18.41"
"04/01/2021 14:25:21","75.01","18.69"
"04/01/2021 14:30:21","73.80","18.91"
"04/01/2021 14:35:21","73.36","17.31"
"04/01/2021 14:40:24","72.76","17.05"
"04/01/2021 14:45:19","70.10","15.23"
"04/01/2021 14:50:23","70.33","15.23"
"04/01/2021 14:55:25","70.90","15.65"
"04/01/2021 15:00:25","70.71","14.91"
"04/01/2021 15:05:21","73.26","16.44"
"04/01/2021 15:10:20","72.08","16.05"
"04/01/2021 15:15:18","74.79","16.58"
"04/01/2021 15:20:25","74.85","16.79"
"04/01/2021 15:25:20","74.88","16.46"
"04/01/2021 15:30:20","74.93","16.52"
"04/01/2021 15:35:18","73.27","16.55"
"04/01/2021 15:40:26","72.48","14.90"
"04/01/2021 15:45:23","72.35","14.51"
"04/01/2021 15:50:24","72.77","14.94"
"04/01/2021 15:55:22","72.05","16.76"
"04/01/2021 16:00:27","72.52","16.81"
"04/01/2021 16:05:22","72.19","16.69"
"04/01/2021 16:10:18","74.78","18.68"
"04/01/2021 16:15:21","74.76","18.58"
"04/01/2021 16:20:20","74.86","18.56"
"04/01/2021 16:25:23","74.71","18.60"
"04/01/2021 16:30:21","75.09","18.65"
"04/01/2021 16:35:18","74.12","18.29"
"04/01/2021 16:40:22","73.64","18.38"
"04/01/2021 16:45:21","73.84","18.38"
"04/01/2021 16:50:19","75.18","18.68"
"04/01/2021 16:55:22","74.14","18.41"
"04/01/2021 17:00:21","73.77","18.41"
"04/01/2021 17:05:21","74.09","18.39"
"04/01/2021 17:10:23","74.96","18.67"
"04/01/2021 17:15:19","74.06","18.39"
