"Time","Download","Upload"
"03/28/2021 00:00:35","72.64","17.07"
"03/28/2021 00:05:38","71.17","17.29"
"03/28/2021 00:10:39","73.82","17.30"
"03/28/2021 00:15:37","73.91","17.25"
"03/28/2021 00:20:33","72.65","17.04"
"03/28/2021 00:25:45","73.47","17.19"
"03/28/2021 00:30:34","72.12","16.99"
"03/28/2021 00:35:42","72.70","17.28"
"03/28/2021 00:40:32","72.60","17.08"
"03/28/2021 00:45:36","73.81","17.30"
"03/28/2021 00:50:39","72.66","16.86"
"03/28/2021 00:55:36","70.72","17.32"
"03/28/2021 02:00:34","72.86","17.30"
"03/28/2021 02:05:37","73.98","17.35"
"03/28/2021 02:10:35","72.54","17.09"
"03/28/2021 02:15:36","72.81","17.04"
"03/28/2021 02:20:33","73.57","17.13"
"03/28/2021 02:25:38","74.06","18.40"
"03/28/2021 02:30:37","75.26","18.69"
"03/28/2021 02:35:35","74.10","18.44"
"03/28/2021 02:40:42","74.16","18.45"
"03/28/2021 02:45:36","75.11","18.70"
"03/28/2021 02:50:39","74.02","18.44"
"03/28/2021 02:55:38","73.99","18.44"
"03/28/2021 03:00:38","74.05","18.43"
"03/28/2021 03:05:40","75.08","18.69"
"03/28/2021 03:10:40","75.34","18.70"
"03/28/2021 03:15:38","74.01","18.44"
"03/28/2021 03:20:40","75.04","18.68"
"03/28/2021 03:25:41","74.00","18.41"
"03/28/2021 03:30:40","74.82","18.71"
"03/28/2021 03:35:44","73.99","18.45"
"03/28/2021 03:40:41","74.15","18.44"
"03/28/2021 03:45:37","73.73","18.42"
"03/28/2021 03:50:38","73.66","18.40"
"03/28/2021 03:55:37","73.99","18.82"
"03/28/2021 04:00:36","74.13","18.44"
"03/28/2021 04:05:38","74.04","18.40"
"03/28/2021 04:10:38","73.96","18.43"
"03/28/2021 04:15:37","73.65","18.45"
"03/28/2021 04:20:51","75.32","18.59"
"03/28/2021 04:25:38","73.90","18.38"
"03/28/2021 04:30:36","74.76","18.70"
"03/28/2021 04:35:36","74.93","18.71"
"03/28/2021 04:40:36","75.00","18.70"
"03/28/2021 04:45:34","74.98","18.66"
"03/28/2021 04:50:35","74.05","18.44"
"03/28/2021 04:55:40","74.81","18.71"
"03/28/2021 05:00:38","74.02","18.44"
"03/28/2021 05:05:41","74.04","18.37"
"03/28/2021 05:10:36","74.00","18.43"
"03/28/2021 05:15:38","74.00","18.44"
"03/28/2021 05:20:38","73.72","18.64"
"03/28/2021 05:25:38","74.06","18.45"
"03/28/2021 05:30:35","74.93","18.71"
"03/28/2021 05:35:37","73.87","18.57"
"03/28/2021 05:40:38","73.93","18.44"
"03/28/2021 05:45:38","74.89","18.71"
"03/28/2021 05:50:36","74.65","18.70"
"03/28/2021 05:55:39","75.07","18.71"
"03/28/2021 06:00:38","75.16","18.61"
"03/28/2021 06:05:36","73.81","18.44"
"03/28/2021 06:10:39","74.81","18.68"
"03/28/2021 06:15:38","74.05","18.43"
"03/28/2021 06:20:40","74.00","18.41"
"03/28/2021 06:25:38","74.83","18.59"
"03/28/2021 06:30:35","74.88","18.68"
"03/28/2021 06:35:39","74.01","18.34"
"03/28/2021 06:40:38","74.50","18.70"
"03/28/2021 06:45:41","74.14","18.27"
"03/28/2021 06:51:24","75.01","18.71"
"03/28/2021 06:55:37","75.03","18.68"
"03/28/2021 07:00:38","75.14","18.40"
"03/28/2021 07:05:38","73.91","18.44"
"03/28/2021 07:10:41","73.79","18.40"
"03/28/2021 07:15:41","75.03","19.00"
"03/28/2021 07:20:36","74.89","18.68"
"03/28/2021 07:25:38","74.07","18.44"
"03/28/2021 07:30:40","75.05","18.58"
"03/28/2021 07:35:38","74.02","18.78"
"03/28/2021 07:40:37","73.83","18.43"
"03/28/2021 07:45:40","74.03","18.74"
"03/28/2021 07:50:38","74.85","18.70"
"03/28/2021 07:55:50","73.94","18.72"
"03/28/2021 08:00:40","74.94","18.70"
"03/28/2021 08:05:38","73.72","17.79"
"03/28/2021 08:10:35","74.91","18.70"
"03/28/2021 08:15:37","74.13","18.44"
"03/28/2021 08:20:46","74.06","15.58"
"03/28/2021 08:25:36","73.46","18.44"
"03/28/2021 08:30:39","73.92","18.44"
"03/28/2021 08:35:37","74.01","18.45"
"03/28/2021 08:40:34","74.65","18.36"
"03/28/2021 08:45:39","74.00","18.44"
"03/28/2021 08:50:39","73.81","18.44"
"03/28/2021 08:55:36","74.99","18.70"
"03/28/2021 09:00:38","74.78","18.69"
"03/28/2021 09:05:41","74.08","18.44"
"03/28/2021 09:10:37","74.92","18.70"
"03/28/2021 09:15:38","74.85","18.71"
"03/28/2021 09:20:34","75.17","18.67"
"03/28/2021 09:25:34","74.98","18.66"
"03/28/2021 09:30:34","73.77","18.44"
"03/28/2021 09:35:37","73.80","18.44"
"03/28/2021 09:40:40","73.94","17.95"
"03/28/2021 09:45:37","74.82","18.70"
"03/28/2021 09:50:39","73.97","18.13"
"03/28/2021 09:55:37","73.75","18.44"
"03/28/2021 10:00:36","74.17","18.43"
"03/28/2021 10:05:38","74.92","18.69"
"03/28/2021 10:10:40","73.91","18.72"
"03/28/2021 10:15:41","73.90","18.43"
"03/28/2021 10:20:38","73.65","18.43"
"03/28/2021 10:25:36","74.05","18.44"
"03/28/2021 10:30:41","71.92","18.39"
"03/28/2021 10:35:41","73.61","17.78"
"03/28/2021 10:40:33","75.32","18.69"
"03/28/2021 10:45:35","73.17","18.42"
"03/28/2021 10:50:33","73.79","18.43"
"03/28/2021 10:55:37","73.78","18.71"
"03/28/2021 11:00:38","73.84","18.44"
"03/28/2021 11:05:36","74.03","18.44"
"03/28/2021 11:10:35","73.98","18.41"
"03/28/2021 11:15:40","74.09","18.83"
"03/28/2021 11:20:37","73.94","18.43"
"03/28/2021 11:25:37","73.89","18.43"
"03/28/2021 11:30:37","73.65","18.44"
"03/28/2021 11:35:35","73.96","18.37"
"03/28/2021 11:40:38","73.82","18.42"
"03/28/2021 11:45:37","73.83","18.41"
"03/28/2021 11:50:35","73.74","18.41"
"03/28/2021 11:55:39","74.24","18.42"
"03/28/2021 12:00:38","73.86","18.42"
"03/28/2021 12:05:42","73.65","18.44"
"03/28/2021 12:10:42","74.09","18.44"
"03/28/2021 12:15:44","74.50","18.70"
"03/28/2021 12:20:54","73.33","18.70"
"03/28/2021 12:25:41","73.18","18.43"
"03/28/2021 12:30:42","74.96","18.69"
"03/28/2021 12:35:44","74.10","18.44"
"03/28/2021 12:40:52","75.33","18.68"
"03/28/2021 12:45:44","73.78","18.43"
"03/28/2021 12:50:50","74.10","18.42"
"03/28/2021 12:55:45","74.99","18.70"
"03/28/2021 13:00:55","74.09","18.43"
"03/28/2021 13:05:50","75.02","18.70"
"03/28/2021 13:10:43","74.12","18.44"
"03/28/2021 13:15:50","74.15","18.44"
"03/28/2021 13:20:44","73.70","18.41"
"03/28/2021 13:25:45","74.18","18.07"
"03/28/2021 13:30:48","74.96","18.70"
"03/28/2021 13:35:46","73.84","18.44"
"03/28/2021 13:40:44","73.94","18.44"
"03/28/2021 13:45:43","73.77","18.19"
"03/28/2021 13:50:44","74.11","18.44"
"03/28/2021 13:55:47","73.98","18.38"
"03/28/2021 14:00:34","73.94","18.42"
"03/28/2021 14:05:38","73.95","18.44"
"03/28/2021 14:10:37","73.86","18.42"
"03/28/2021 14:15:38","73.94","18.44"
"03/28/2021 14:20:37","73.71","18.43"
"03/28/2021 14:25:40","73.61","18.44"
"03/28/2021 14:30:39","74.80","18.68"
"03/28/2021 14:35:44","73.71","18.35"
"03/28/2021 14:40:40","74.01","18.38"
"03/28/2021 14:45:40","74.07","18.44"
"03/28/2021 14:50:45","71.28","18.42"
"03/28/2021 14:55:42","71.14","18.84"
"03/28/2021 15:00:43","73.77","18.65"
"03/28/2021 15:05:41","73.49","18.37"
"03/28/2021 15:10:42","73.92","18.43"
"03/28/2021 15:15:34","72.72","18.39"
"03/28/2021 15:20:36","72.18","18.40"
"03/28/2021 15:25:40","73.82","18.45"
"03/28/2021 15:30:39","73.97","18.36"
"03/28/2021 15:35:34","73.74","18.70"
"03/28/2021 15:40:38","73.47","18.42"
"03/28/2021 15:45:38","73.59","18.44"
"03/28/2021 15:50:38","74.10","18.44"
"03/28/2021 15:55:40","73.61","18.42"
"03/28/2021 16:00:40","75.08","18.70"
"03/28/2021 16:05:33","73.91","18.44"
"03/28/2021 16:10:41","74.10","18.53"
"03/28/2021 16:15:42","73.87","18.43"
"03/28/2021 16:20:41","73.92","18.18"
"03/28/2021 16:25:48","73.91","18.40"
"03/28/2021 16:30:36","73.88","18.43"
"03/28/2021 16:35:49","73.87","18.47"
"03/28/2021 16:40:37","73.53","18.43"
"03/28/2021 16:45:40","73.96","18.45"
"03/28/2021 16:50:39","73.87","18.70"
"03/28/2021 16:55:37","74.87","18.70"
"03/28/2021 17:00:43","74.03","18.44"
"03/28/2021 17:05:37","73.84","18.44"
"03/28/2021 17:10:38","73.81","18.44"
"03/28/2021 17:15:39","74.10","18.41"
"03/28/2021 17:20:37","73.58","18.43"
"03/28/2021 17:25:39","74.06","18.43"
"03/28/2021 17:30:44","74.02","18.44"
"03/28/2021 17:35:33","73.76","17.90"
"03/28/2021 17:40:39","74.12","18.43"
"03/28/2021 17:45:38","75.02","18.70"
"03/28/2021 17:50:40","74.23","18.35"
"03/28/2021 17:55:37","73.90","18.42"
"03/28/2021 18:00:44","73.92","18.62"
"03/28/2021 18:05:38","73.82","18.44"
"03/28/2021 18:10:40","73.97","18.46"
"03/28/2021 18:15:42","71.29","18.70"
"03/28/2021 18:20:42","74.10","18.41"
"03/28/2021 18:25:38","74.12","18.44"
"03/28/2021 18:30:34","74.03","18.48"
"03/28/2021 18:35:34","73.92","18.44"
"03/28/2021 18:40:37","73.68","18.43"
"03/28/2021 18:45:37","73.86","18.49"
"03/28/2021 18:50:38","73.94","18.44"
"03/28/2021 18:55:40","74.08","18.27"
"03/28/2021 19:00:46","74.15","18.39"
"03/28/2021 19:05:42","73.85","18.43"
"03/28/2021 19:10:35","70.29","18.33"
"03/28/2021 19:15:43","72.99","18.68"
"03/28/2021 19:20:33","71.81","18.37"
"03/28/2021 19:25:40","71.47","18.23"
"03/28/2021 19:30:40","73.77","18.89"
"03/28/2021 19:35:45","75.03","18.98"
"03/28/2021 19:40:39","73.69","18.43"
"03/28/2021 19:45:36","74.04","18.43"
"03/28/2021 19:50:38","73.89","18.43"
"03/28/2021 19:55:44","73.92","18.45"
"03/28/2021 20:00:39","73.73","18.44"
"03/28/2021 20:05:41","73.81","18.39"
"03/28/2021 20:10:42","73.33","18.42"
"03/28/2021 20:15:39","74.65","18.68"
"03/28/2021 20:20:42","72.04","18.38"
"03/28/2021 20:25:40","71.71","18.37"
"03/28/2021 20:30:41","73.20","18.50"
"03/28/2021 20:35:42","73.85","18.43"
"03/28/2021 20:40:36","73.35","18.35"
"03/28/2021 20:45:36","73.97","18.39"
"03/28/2021 20:50:40","74.77","18.61"
"03/28/2021 20:55:40","73.97","18.38"
"03/28/2021 21:00:37","71.86","18.39"
"03/28/2021 21:05:42","71.97","18.40"
"03/28/2021 21:10:42","73.30","18.26"
"03/28/2021 21:15:39","72.98","18.62"
"03/28/2021 21:20:44","71.95","18.41"
"03/28/2021 21:25:34","70.48","18.43"
"03/28/2021 21:30:36","73.83","18.48"
"03/28/2021 21:35:38","73.44","18.56"
"03/28/2021 21:40:33","73.61","18.44"
"03/28/2021 21:45:38","72.01","18.35"
"03/28/2021 21:50:46","72.06","18.82"
"03/28/2021 21:55:46","73.66","18.71"
"03/28/2021 22:00:47","73.92","18.41"
"03/28/2021 22:05:37","70.75","18.40"
"03/28/2021 22:10:47","63.88","18.42"
"03/28/2021 22:15:43","73.27","18.44"
"03/28/2021 22:20:37","73.72","18.65"
"03/28/2021 22:25:40","72.12","18.50"
"03/28/2021 22:30:39","73.86","18.42"
"03/28/2021 22:35:37","71.99","18.42"
"03/28/2021 22:40:32","74.40","18.65"
"03/28/2021 22:45:40","72.20","18.38"
"03/28/2021 22:50:39","74.03","18.69"
