"Time","Download","Upload"
"03/12/2021 00:00:26","71.93","18.43"
"03/12/2021 00:05:21","73.93","18.42"
"03/12/2021 00:10:21","74.73","18.71"
"03/12/2021 00:15:22","74.72","18.71"
"03/12/2021 00:20:20","75.23","18.70"
"03/12/2021 00:25:20","73.90","18.43"
"03/12/2021 00:30:20","73.88","18.43"
"03/12/2021 00:35:20","64.61","18.20"
"03/12/2021 00:40:20","75.05","18.38"
"03/12/2021 00:45:21","73.95","18.42"
"03/12/2021 00:50:21","73.99","18.69"
"03/12/2021 00:55:22","73.75","18.41"
"03/12/2021 01:00:22","73.93","18.43"
"03/12/2021 01:05:22","74.84","18.70"
"03/12/2021 01:10:20","74.76","19.12"
"03/12/2021 01:15:20","75.09","18.70"
"03/12/2021 01:20:22","73.82","18.71"
"03/12/2021 01:25:22","73.82","18.43"
"03/12/2021 01:30:20","73.85","18.38"
"03/12/2021 01:35:20","75.07","18.69"
"03/12/2021 01:40:22","73.95","18.43"
"03/12/2021 01:45:18","73.58","18.41"
"03/12/2021 01:50:19","73.92","18.44"
"03/12/2021 01:55:19","73.33","18.41"
"03/12/2021 02:00:20","73.76","18.43"
"03/12/2021 02:05:20","75.05","18.70"
"03/12/2021 02:10:23","74.87","18.70"
"03/12/2021 02:15:19","73.39","18.69"
"03/12/2021 02:20:20","73.99","18.45"
"03/12/2021 02:25:24","75.14","18.97"
"03/12/2021 02:30:19","73.72","18.40"
"03/12/2021 02:35:21","73.83","18.42"
"03/12/2021 02:40:21","74.09","18.44"
"03/12/2021 02:45:20","74.98","18.71"
"03/12/2021 02:50:22","74.97","18.71"
"03/12/2021 02:55:21","74.11","18.40"
"03/12/2021 03:00:23","73.89","18.49"
"03/12/2021 03:05:21","73.70","18.43"
"03/12/2021 03:10:20","73.79","18.44"
"03/12/2021 03:15:17","74.91","18.70"
"03/12/2021 03:20:19","73.83","18.40"
"03/12/2021 03:25:22","73.86","18.44"
"03/12/2021 03:30:19","73.96","18.43"
"03/12/2021 03:35:20","74.13","18.34"
"03/12/2021 03:40:23","73.93","18.66"
"03/12/2021 03:45:19","73.74","18.44"
"03/12/2021 03:50:18","74.03","18.42"
"03/12/2021 03:55:20","75.28","18.71"
"03/12/2021 04:00:22","73.97","18.83"
"03/12/2021 04:05:19","73.68","18.44"
"03/12/2021 04:10:20","73.94","18.41"
"03/12/2021 04:15:21","73.78","18.65"
"03/12/2021 04:20:20","73.87","18.44"
"03/12/2021 04:25:21","73.98","18.44"
"03/12/2021 04:30:20","74.07","18.43"
"03/12/2021 04:35:20","73.75","18.31"
"03/12/2021 04:40:20","74.97","18.71"
"03/12/2021 04:45:23","74.78","18.94"
"03/12/2021 04:50:21","74.00","18.65"
"03/12/2021 04:55:20","75.05","18.71"
"03/12/2021 05:00:21","73.80","18.44"
"03/12/2021 05:05:22","73.95","18.44"
"03/12/2021 05:10:20","73.71","18.44"
"03/12/2021 05:15:21","74.06","18.44"
"03/12/2021 05:20:22","73.64","18.64"
"03/12/2021 05:25:22","74.78","19.01"
"03/12/2021 05:30:23","74.28","18.44"
"03/12/2021 05:35:22","75.33","18.70"
"03/12/2021 05:40:21","74.89","18.70"
"03/12/2021 05:45:20","75.04","18.68"
"03/12/2021 05:50:25","74.97","18.97"
"03/12/2021 05:55:18","74.92","18.70"
"03/12/2021 06:00:18","74.00","18.44"
"03/12/2021 06:05:22","73.76","18.45"
"03/12/2021 06:10:20","74.06","18.43"
"03/12/2021 06:15:19","74.03","18.43"
"03/12/2021 06:20:23","73.44","18.44"
"03/12/2021 06:25:20","73.99","18.45"
"03/12/2021 06:30:20","73.95","18.42"
"03/12/2021 06:35:19","74.91","18.65"
"03/12/2021 06:40:21","74.93","18.70"
"03/12/2021 06:45:34","40.10","16.40"
"03/12/2021 06:50:21","74.85","18.18"
"03/12/2021 06:55:21","74.62","18.70"
"03/12/2021 07:00:19","73.95","18.44"
"03/12/2021 07:05:21","74.85","18.70"
"03/12/2021 07:10:23","75.04","18.72"
"03/12/2021 07:15:26","75.00","18.70"
"03/12/2021 07:20:19","74.70","18.70"
"03/12/2021 07:25:21","73.85","18.44"
"03/12/2021 07:30:21","73.89","18.44"
"03/12/2021 07:35:23","74.00","18.44"
"03/12/2021 07:40:19","73.93","18.43"
"03/12/2021 07:45:20","74.60","18.71"
"03/12/2021 07:50:21","75.20","18.70"
"03/12/2021 07:55:21","73.09","18.08"
"03/12/2021 08:00:21","75.07","18.71"
"03/12/2021 08:05:25","71.36","18.70"
"03/12/2021 08:10:21","73.73","18.45"
"03/12/2021 08:15:21","75.06","18.61"
"03/12/2021 08:20:19","73.77","18.44"
"03/12/2021 08:25:22","73.84","18.41"
"03/12/2021 08:30:21","73.92","18.43"
"03/12/2021 08:35:21","74.94","18.69"
"03/12/2021 08:40:21","73.83","18.43"
"03/12/2021 08:45:21","75.09","18.72"
"03/12/2021 08:50:21","74.75","18.72"
"03/12/2021 08:55:20","75.01","18.70"
"03/12/2021 09:00:21","75.11","18.70"
"03/12/2021 09:05:25","75.06","18.68"
"03/12/2021 09:10:21","73.85","18.44"
"03/12/2021 09:15:23","74.12","18.38"
"03/12/2021 09:20:21","74.79","18.66"
"03/12/2021 09:25:21","74.08","18.28"
"03/12/2021 09:30:21","73.82","18.42"
"03/12/2021 09:35:22","73.92","18.44"
"03/12/2021 09:40:18","74.69","18.59"
"03/12/2021 09:45:21","75.07","18.69"
"03/12/2021 09:50:21","74.05","18.40"
"03/12/2021 09:55:21","73.96","18.42"
"03/12/2021 10:00:24","73.85","18.37"
"03/12/2021 10:05:20","73.94","18.42"
"03/12/2021 10:10:21","74.97","18.69"
"03/12/2021 10:15:22","73.83","18.43"
"03/12/2021 10:20:24","73.78","18.71"
"03/12/2021 10:25:21","74.64","18.51"
"03/12/2021 10:30:22","73.79","18.26"
"03/12/2021 10:35:21","73.46","18.34"
"03/12/2021 10:40:21","73.82","18.35"
"03/12/2021 10:45:21","73.89","18.36"
"03/12/2021 10:50:21","73.80","18.36"
"03/12/2021 10:55:20","73.30","18.40"
"03/12/2021 11:00:22","74.10","18.41"
"03/12/2021 11:05:25","73.10","17.41"
"03/12/2021 11:10:20","72.27","17.40"
"03/12/2021 11:15:23","73.93","18.45"
