"Time","Download","Upload"
"02/20/2021 10:50:27","20.62","15.44"
"02/20/2021 10:55:27","18.58","15.05"
"02/20/2021 11:00:29","20.36","14.82"
"02/20/2021 11:05:23","19.16","14.49"
"02/20/2021 11:10:22","19.93","15.01"
"02/20/2021 11:15:19","19.54","14.60"
"02/20/2021 11:20:34","18.75","15.36"
"02/20/2021 11:25:27","18.60","14.13"
"02/20/2021 11:30:37","18.68","6.00"
"02/20/2021 11:35:22","19.13","14.45"
"02/20/2021 11:40:49","18.87","15.18"
"02/20/2021 11:45:43","17.08","14.27"
"02/20/2021 11:50:29","18.03","14.61"
"02/20/2021 11:55:36","18.88","14.57"
"02/20/2021 12:00:31","18.32","13.91"
"02/20/2021 12:05:59","19.25","13.31"
"02/20/2021 12:10:26","19.00","14.97"
"02/20/2021 12:15:38","16.71","13.07"
"02/20/2021 12:20:32","19.59","15.22"
"02/20/2021 12:25:31","17.48","14.22"
"02/20/2021 15:15:22","20.85","15.34"
"02/20/2021 15:20:29","20.18","15.80"
"02/20/2021 15:25:24","20.34","14.24"
"02/20/2021 15:30:19","19.23","14.60"
"02/20/2021 15:35:24","19.53","15.15"
"02/20/2021 15:40:22","19.44","14.92"
"02/20/2021 22:41:16","8.19","0"
"02/20/2021 22:45:38","20.48","0"
"02/20/2021 22:50:01","0","0"
"02/20/2021 22:55:38","19.20","2.61"
"02/20/2021 23:00:31","25.53","13.87"
"02/20/2021 23:05:30","26.01","12.77"
"02/20/2021 23:10:31","28.80","7.45"
"02/20/2021 23:15:32","28.56","6.90"
"02/20/2021 23:20:28","29.31","13.01"
"02/20/2021 23:30:35","29.82","15.71"
"02/20/2021 23:35:33","28.76","17.42"
"02/20/2021 23:40:29","35.65","17.44"
"02/20/2021 23:45:24","25.48","15.04"
"02/20/2021 23:50:20","30.82","17.57"
"02/20/2021 23:55:29","34.53","16.27"
