"Time","Download","Upload"
"03/11/2021 00:00:39","74.88","18.99"
"03/11/2021 00:05:42","66.53","18.36"
"03/11/2021 00:10:38","74.09","18.61"
"03/11/2021 00:15:38","75.17","18.67"
"03/11/2021 00:20:40","75.21","18.71"
"03/11/2021 00:25:41","75.26","18.71"
"03/11/2021 00:30:35","73.72","18.44"
"03/11/2021 00:35:45","73.80","18.44"
"03/11/2021 00:40:38","74.03","18.42"
"03/11/2021 00:45:38","73.93","18.40"
"03/11/2021 00:50:36","75.24","18.70"
"03/11/2021 00:55:37","74.05","18.43"
"03/11/2021 01:00:37","74.82","18.71"
"03/11/2021 01:05:35","63.45","17.77"
"03/11/2021 01:10:34","64.19","18.06"
"03/11/2021 01:15:44","73.95","19.12"
"03/11/2021 01:20:39","74.01","18.42"
"03/11/2021 01:25:43","74.72","18.98"
"03/11/2021 01:30:41","73.74","18.43"
"03/11/2021 01:35:40","74.92","18.71"
"03/11/2021 01:40:40","73.69","18.43"
"03/11/2021 01:45:37","73.89","18.41"
"03/11/2021 01:50:33","74.63","18.70"
"03/11/2021 01:55:38","75.01","18.69"
"03/11/2021 02:00:37","75.01","18.68"
"03/11/2021 02:05:46","73.85","18.82"
"03/11/2021 02:10:44","74.15","18.39"
"03/11/2021 02:15:37","73.95","18.43"
"03/11/2021 02:20:37","73.71","18.45"
"03/11/2021 02:25:40","74.13","18.82"
"03/11/2021 02:30:36","73.97","18.40"
"03/11/2021 02:35:39","75.26","18.71"
"03/11/2021 02:40:39","74.82","18.48"
"03/11/2021 02:45:37","73.81","18.42"
"03/11/2021 02:50:41","74.02","18.81"
"03/11/2021 02:55:40","74.08","18.44"
"03/11/2021 03:00:36","73.70","18.41"
"03/11/2021 03:05:35","73.75","18.41"
"03/11/2021 03:10:44","75.34","18.69"
"03/11/2021 03:15:36","73.91","18.43"
"03/11/2021 03:20:38","74.15","18.44"
"03/11/2021 03:25:35","73.78","18.42"
"03/11/2021 03:30:40","74.14","18.43"
"03/11/2021 03:35:33","74.95","18.68"
"03/11/2021 03:40:32","75.10","18.48"
"03/11/2021 03:45:39","73.97","18.42"
"03/11/2021 03:50:40","75.14","18.72"
"03/11/2021 03:55:37","73.90","18.43"
"03/11/2021 04:00:38","73.79","18.42"
"03/11/2021 04:05:35","73.87","18.43"
"03/11/2021 04:10:38","73.87","18.42"
"03/11/2021 04:15:35","73.37","18.41"
"03/11/2021 04:20:36","73.86","18.42"
"03/11/2021 04:25:36","74.01","18.42"
"03/11/2021 04:30:37","73.98","18.42"
"03/11/2021 04:35:34","73.93","18.43"
"03/11/2021 04:40:39","73.81","18.42"
"03/11/2021 04:45:41","74.19","18.74"
"03/11/2021 04:50:34","73.76","18.43"
"03/11/2021 04:55:33","73.90","18.30"
"03/11/2021 05:00:38","74.91","18.78"
"03/11/2021 05:05:34","73.58","18.44"
"03/11/2021 05:10:37","75.08","18.67"
"03/11/2021 05:15:36","73.87","18.44"
"03/11/2021 05:20:36","74.00","18.43"
"03/11/2021 05:25:39","74.94","18.70"
"03/11/2021 05:30:37","73.82","18.79"
"03/11/2021 05:35:40","73.89","18.93"
"03/11/2021 05:40:44","73.55","18.42"
"03/11/2021 05:45:36","75.20","18.69"
"03/11/2021 05:50:36","74.57","18.71"
"03/11/2021 05:55:41","73.91","18.44"
"03/11/2021 06:00:37","74.98","18.67"
"03/11/2021 06:05:39","74.02","18.44"
"03/11/2021 06:10:36","74.80","18.60"
"03/11/2021 06:15:41","75.02","18.71"
"03/11/2021 06:20:36","73.79","18.42"
"03/11/2021 06:25:35","74.08","18.42"
"03/11/2021 06:30:35","74.69","18.71"
"03/11/2021 06:35:39","73.85","18.44"
"03/11/2021 06:40:40","74.12","19.14"
"03/11/2021 06:45:34","74.00","18.43"
"03/11/2021 06:50:43","62.56","17.99"
"03/11/2021 06:55:36","74.92","18.70"
"03/11/2021 07:00:37","72.49","18.39"
"03/11/2021 07:05:39","73.72","18.32"
"03/11/2021 07:10:37","74.62","18.68"
"03/11/2021 07:15:38","74.77","18.62"
"03/11/2021 07:20:45","73.38","18.36"
"03/11/2021 07:25:39","74.53","18.64"
"03/11/2021 07:30:34","73.52","18.33"
"03/11/2021 07:35:37","72.48","18.40"
"03/11/2021 07:40:37","73.59","18.41"
"03/11/2021 07:45:42","74.54","18.66"
"03/11/2021 07:50:39","74.68","18.69"
"03/11/2021 07:55:39","73.50","18.41"
"03/11/2021 08:00:40","73.42","18.39"
"03/11/2021 08:05:32","73.45","18.37"
"03/11/2021 08:10:37","74.63","18.12"
"03/11/2021 08:15:35","74.15","18.59"
"03/11/2021 08:20:41","73.61","18.68"
"03/11/2021 08:25:37","72.51","18.40"
"03/11/2021 08:30:34","73.38","18.38"
"03/11/2021 08:35:42","43.99","17.41"
"03/11/2021 08:40:34","74.22","18.12"
"03/11/2021 08:45:41","73.89","18.43"
"03/11/2021 08:50:34","73.48","18.39"
"03/11/2021 08:55:37","73.49","18.33"
"03/11/2021 09:00:37","73.55","18.33"
"03/11/2021 09:05:36","73.29","18.40"
"03/11/2021 09:10:46","74.61","18.69"
"03/11/2021 09:15:37","74.66","18.59"
"03/11/2021 09:20:40","74.70","18.58"
"03/11/2021 09:25:33","74.80","18.57"
"03/11/2021 09:30:41","74.13","18.42"
"03/11/2021 09:35:40","73.90","18.41"
"03/11/2021 09:40:36","73.99","18.40"
"03/11/2021 09:45:37","74.90","18.71"
"03/11/2021 09:50:36","73.12","18.42"
"03/11/2021 09:55:38","73.87","18.43"
"03/11/2021 10:00:51","73.89","18.34"
"03/11/2021 10:05:47","73.92","18.97"
"03/11/2021 10:10:37","75.17","18.68"
"03/11/2021 10:15:35","73.91","18.43"
"03/11/2021 10:20:35","73.84","18.26"
"03/11/2021 10:25:44","74.90","18.69"
"03/11/2021 10:30:39","74.06","18.77"
"03/11/2021 10:35:34","73.74","18.40"
"03/11/2021 10:40:38","75.05","18.65"
"03/11/2021 10:45:36","74.02","18.43"
"03/11/2021 10:50:39","75.13","18.68"
"03/11/2021 10:55:37","75.00","18.67"
"03/11/2021 11:00:38","73.76","18.34"
"03/11/2021 11:05:35","73.18","18.19"
"03/11/2021 11:10:42","73.02","18.40"
"03/11/2021 11:15:36","74.93","18.68"
"03/11/2021 11:20:42","75.04","18.70"
"03/11/2021 11:25:39","74.87","18.98"
"03/11/2021 11:30:36","73.88","18.41"
"03/11/2021 11:35:42","74.01","18.42"
"03/11/2021 11:40:36","74.03","18.42"
"03/11/2021 11:45:36","74.00","17.80"
"03/11/2021 11:50:34","74.47","18.63"
"03/11/2021 11:55:39","73.90","18.34"
"03/11/2021 12:00:38","74.68","18.70"
"03/11/2021 12:05:42","73.99","18.42"
"03/11/2021 12:10:36","75.20","18.58"
"03/11/2021 12:15:42","72.04","18.35"
"03/11/2021 12:20:40","74.77","18.90"
"03/11/2021 12:25:38","73.94","18.39"
