"Time","Download","Upload"
"03/06/2021 20:34:05","73.03","16.93"
"03/06/2021 20:35:38","73.93","17.08"
"03/06/2021 20:40:34","71.77","17.19"
"03/06/2021 20:45:35","71.96","17.07"
"03/06/2021 20:50:38","60.00","16.93"
"03/06/2021 20:55:38","71.88","17.05"
"03/06/2021 21:00:38","71.14","16.78"
"03/06/2021 21:05:54","63.56","16.30"
"03/06/2021 21:10:39","68.26","16.69"
"03/06/2021 21:15:39","68.40","16.80"
"03/06/2021 21:20:44","71.38","17.16"
"03/06/2021 21:25:33","71.40","17.16"
"03/06/2021 21:30:33","71.20","17.08"
"03/06/2021 21:35:44","65.86","16.62"
"03/06/2021 21:40:39","67.59","16.91"
"03/06/2021 21:45:39","72.34","16.64"
"03/06/2021 21:50:37","71.25","16.79"
"03/06/2021 21:55:42","71.88","17.02"
"03/06/2021 22:00:38","68.64","16.93"
"03/06/2021 22:05:36","71.28","16.78"
"03/06/2021 22:10:36","68.71","16.75"
"03/06/2021 22:15:35","71.21","16.89"
"03/06/2021 22:20:39","72.66","16.90"
"03/06/2021 22:25:46","68.37","16.67"
"03/06/2021 22:30:48","73.46","17.85"
"03/06/2021 22:35:36","72.78","17.31"
"03/06/2021 22:40:42","70.36","17.27"
"03/06/2021 22:45:39","71.38","17.16"
"03/06/2021 22:50:36","71.99","17.11"
"03/06/2021 22:55:34","72.37","16.96"
"03/06/2021 23:00:37","72.14","17.18"
